Section,Item,Material Design,Human Interface Guidelines,Fluent 2 Design System,Atlassian Design System,Ant Design,Carbon Design System,Lightning Design System,Primer Product UI,Spectrum,SmartHR Design System,Sparkle Design,デジタル庁デザインシステムβ版
Metadata,Design system name,Material Design,Human Interface Guidelines,Fluent 2 Design System,Atlassian Design System,Ant Design,Carbon Design System,Lightning Design System,Primer Product UI,Spectrum,SmartHR Design System,Sparkle Design,デジタル庁デザインシステムβ版
Metadata,Provider,Google,Apple,Microsoft,Atlassian,Ant Group,IBM,Salesforce,GitHub,Adobe,SmartHR,Goodpatch,デジタル庁
Metadata,Primary URL,https://m3.material.io/,https://developer.apple.com/design/human-interface-guidelines/,https://fluent2.microsoft.design/,https://atlassian.design/,https://ant.design/,https://carbondesignsystem.com/,https://v1.lightningdesignsystem.com/,https://primer.style/product,https://spectrum.adobe.com/,https://smarthr.design/,https://sparkle-design.goodpatch.com/sparkle-design,https://design.digital.go.jp/
Metadata,Documentation scope,"Foundations + styles + components + patterns","Platform conventions + controls + app architecture","Foundations + tokens + components + templates","Foundations + content + components + tooling","Design values + patterns + React components","Guidelines + tokens + components + data viz","Blueprints + accessibility + implementation guidance","Guidelines + primitives + patterns + components","Language + workflow + components + tokens","Principles + tokens + product + accessibility","Consulting-led design system guidance + assets","Government web guidance + components + examples"
Metadata,Primary product focus,"Cross-platform product UI","Apple platform apps","Cross-platform Microsoft product UI","Atlassian cloud products","Enterprise web applications","Enterprise products and dashboards","Salesforce application UI","GitHub product interfaces","Adobe product and marketing flows","HR SaaS product UI","Client and in-house digital products","Japanese public service websites"
Metadata,Status/maintenance,"Active | Material 3 current","Active | continuously updated by Apple","Active | Fluent 2 current","Active | core Atlassian system","Active | v5 current","Active | IBM maintained","Active | SLDS 1 public docs","Active | GitHub maintained","Active | Adobe maintained","Active | SmartHR maintained","Active | publicly launched 2025","Beta | public government rollout"
Metadata,License/Open source,"Guidance open | Android libs available","Guidance proprietary | platform SDKs","Guidance open | Fluent UI OSS","Guidance open | Atlaskit OSS mix","MIT | ant-design open source","Apache-2.0 | carbon open source","BSD-style assets + platform implementations","MIT | Primer React open source","Guidance open | React Spectrum OSS related","Guidance open | SmartHR UI OSS","Public docs | OSS status not central","Guidance open | OSS not primary focus"
Platform,Web,"Yes | core web guidance","Yes | Safari/web adaptation","Yes | web first docs","Yes | cloud web apps","Yes | primary target","Yes | strong web focus","Yes | responsive enterprise web","Yes | GitHub web app UI","Yes | web workflows","Yes | primary product target","Yes | website and app design","Yes | government websites"
Platform,iOS,"Yes | Android emphasis but adaptable","Yes | iPhone and iPad native","Yes | cross-platform guidance","N/A | not a native iOS system","Limited | Ant Design Mobile exists","Limited | not primary focus","Limited | Salesforce mobile patterns separate","Limited | not primary target","Limited | some mobile web patterns","Limited | app-specific not central","N/A | not publicly positioned for iOS","N/A | web-first guidance"
Platform,Android,"Yes | Android canonical","N/A | Apple-only guidance","Yes | Android support via Fluent UI","N/A | web-first","Limited | Ant Design Mobile exists","Limited | not Android-native guidance","Limited | mobile web and Salesforce apps","N/A | not Android-native guidance","Limited | not Android-native guidance","Limited | app-specific not public focus","N/A | not public Android system","N/A | web-first guidance"
Platform,Desktop,"Yes | large-screen guidance","Yes | macOS specific","Yes | Windows desktop heritage","Yes | desktop web apps","Yes | enterprise desktop web","Yes | enterprise dashboards","Yes | desktop CRM workflows","Yes | desktop-heavy workflows","Yes | desktop creative workflows","Yes | desktop web product","Yes | desktop productivity sites","Yes | administrative web systems"
Platform,Cross-platform guidance,"High | phones to large screens","Medium | per-platform docs","High | coherent across surfaces","Medium | mostly Atlassian web ecosystem","Medium | web + mobile variants","High | IBM products across platforms","Medium | responsive and adaptive blueprints","Medium | GitHub product surfaces","High | Spectrum family spans products","Medium | design principles reused across products","Medium | consulting reusable patterns","Medium | common patterns for public sites"
Foundations,Design principles,"Material You | adaptive and expressive","Clarity, deference, depth","Open, welcoming, confident","Bold, optimistic, practical","Natural, certain, meaningful, growing","Carbon principles for clarity and scale","Clarity, efficiency, consistency","GitHub-first clarity and utility","Spectrum language and workflow consistency","Basic principles tied to SmartHR personality","System thinking for scalable product design","Accessibility and trust for public services"
Foundations,Accessibility,"Strong | accessibility foundations and alt text","Strong | built into platform guidance","Strong | inclusive by default guidance","Strong | dedicated accessibility content","Strong | WCAG-oriented component guidance","Strong | accessibility status per component","Strong | accessible blueprints emphasized","Strong | component-level accessibility docs","Strong | accessibility central across components","Strong | checklist and alt-text guidance","Medium | public guidance exists but not deep yet","Strong | public-sector accessibility emphasized"
Foundations,Content design,"Writing and labels in guidance","Writing guidance included","Microcopy guidance present","Dedicated content design guidance","Writing for enterprise flows","Content and naming guidance","Voice and tone guidance limited","Copy and UX writing within patterns","Voice and tone is a first-class section","Communication content category exists","Brand and communication guidance present","Plain Japanese and service writing implied"
Foundations,Internationalization,"Global writing guidance","Localization guidance across locales","Global products assumed","International product patterns implied","Internationalization support in components","Global enterprise support implied","Global Salesforce product support","Global GitHub product support","Global Adobe product support","Japanese product focus | global not primary","Global consulting context | docs mostly Japanese","Japanese government focus"
Foundations,Localization/RTL,"Limited | not core Material 3 section","Strong | locale-aware Apple controls","RTL support in Fluent UI ecosystem","Limited | not emphasized in top-level docs","Strong | direction and locale support in components","Strong | bidirectional support documented","Limited | not prominent in public docs","Limited | GitHub product focus","Strong | localization and global products","N/A | Japanese-first documentation","N/A | Japanese-first documentation","N/A | Japanese public-sector context"
Foundations,Dark mode,"Strong | dynamic color and dark theme","Strong | system dark mode guidance","Strong | light/dark theme built in","Strong | design tokens support themes","Strong | algorithmic dark themes","Strong | white and gray theme variants","Strong | styling hooks and themes","Strong | color modes through primitives","Strong | theming across products","Strong | product supports themes","Medium | theming discussed at system level","Limited | public docs focus on baseline web"
Foundations,Theming/customization,"High | color roles and dynamic schemes","Medium | platform appearance customization","High | theme tokens and brand ramps","High | tokens and theming infrastructure","High | seed tokens and algorithms","High | tokens and themes for products","High | styling hooks and design tokens","High | CSS variables and theme support","High | tokenized theming across apps","Medium | design tokens via SmartHR UI","Medium | reusable guidance, not a formal token engine","Low | standardization over customization"
Foundations,Layout/grid,"Responsive layout guidance","Platform layout and safe-area guidance","Layout and spacing guidance","Page layout patterns and spacing tokens","Grid and layout spec","2x grid and layout principles","Responsive grid utilities and page regions","Layout primitives and page patterns","Layout, workflow, and responsive guidance","Product layout guidance exists","Information architecture and layout guidance","Page templates and component layout examples"
Foundations,Navigation guidance,"Navigation bar, rail, drawer patterns","Tab bars, sidebars, split views","Nav, tabs, toolbar, app shell guidance","Side navigation and in-app nav patterns","Navigation specs for enterprise apps","Navigation patterns and shell guidance","Global nav and app launcher blueprints","NavList, UnderlineNav, side nav patterns","Workflow navigation and shell patterns","Product navigation guidance exists","Navigation guidance emerging with system assets","Header, side nav, breadcrumb in public guidance"
Foundations,Form guidance,"Inputs, validation, selection patterns","Pickers and forms follow platform conventions","Forms and field composition guidance","Forms and field behaviors in components","Rich form component ecosystem","Form guidance and input validation","Form blueprints for enterprise workflows","Form controls and validation states","Form patterns tied to workflows","Product content includes forms and inputs","Reusable form patterns expected","Public form controls and usage guidance"
Foundations,Validation/error handling,"Error states in text fields and dialogs","System alerts and validation via native controls","Validation states standardized in components","Flags, inline messages, field errors","Status and feedback patterns strong","Error messaging and inline validation guidance","Alerts, prompts, validation in blueprints","FormControl validation and flash messages","Validation built into workflow and components","Product guidance includes error states","Not a highlighted public section yet","Error and notice components for services"
Foundations,State model,"Hover, focus, pressed, disabled explicit","Standard control states via platform behaviors","Rest, hover, pressed, selected explicit","Comprehensive interaction states via tokens","Common control states standardized","States documented in components","Interaction states per blueprint","Default/hover/disabled/focus documented","Component states and variants explicit","State handling in SmartHR UI components","State guidance emerging","Usage pages describe state behavior"
Foundations,Privacy/trust,"Security and permission patterns adjacent","Privacy is a platform concern","Trust and privacy aligned with Microsoft products","Enterprise trust and permissions implied","Enterprise admin trust patterns","Enterprise governance context","CRM trust and data-sensitive workflows","GitHub trust and security context","Enterprise creative cloud trust context","HR data sensitivity strongly implied","Client trust and brand quality focus","Strong | public trust and legal accessibility"
Foundations,Data visualization guidance,"Charts and data display patterns limited","Charts available in platform frameworks","Data viz not central in core Fluent 2","Data display patterns, charts not central","Ant Design Charts ecosystem","Carbon charts ecosystem official","Analytics and report UI patterns","Data-rich GitHub tables more than charts","Charts less central than workflows","Data display in product guidance","Not a major public system axis","Tables and summaries more central than charts"
Design Tokens & Style,Design tokens,"Strong | color, type, shape, motion roles","Implicit via platform APIs and metrics","Strong | global and alias tokens","Strong | design tokens core foundation","Strong | seed, map, alias tokens","Strong | tokens and CSS custom properties","Strong | design tokens + styling hooks","Strong | primitives for color, space, type","Strong | Spectrum tokens across platforms","Strong | design tokens in SmartHR UI","Medium | reusable style decisions, tokens not foregrounded","Medium | design foundations standardized"
Design Tokens & Style,Color,"Tonal palettes and semantic roles","System colors and materials","Neutral and brand ramps","Semantic color tokens","Algorithmic palettes and semantic colors","Layered and theme-aware palettes","Brand and utility colors with hooks","Color scales and semantic vars","Semantic color system across themes","Brand and semantic color tokens","Brand-led palette guidance","Government-approved accessible palette"
Design Tokens & Style,Typography,"Type scale and roles","SF typography and text styles","Type ramp tokens","Typography tokens and guidance","Typography scale for enterprise UI","Productive type styles and tokens","SLDS typography utilities","Text styles and Primer primitives","Type system with expressive scales","Typography tokens and usage","Brand and UI typography guidance","Readable Japanese web typography guidance"
Design Tokens & Style,Spacing,"Layout spacing scale","System spacing through platform metrics","Spacing tokens","Spacing tokens","Spacing grid and spacing tokens","Spacing scale and grid","Spacing utilities","Space primitives","Spacing tokens","Spacing tokens in UI kit","Spacing guidance present","Consistent spacing in templates"
Design Tokens & Style,Elevation/shadow,"Elevation levels and surfaces","Depth through materials and blur","Shadow tokens available","Elevation via tokens where needed","Shadows for layered surfaces","Layer model more central than shadows","Utility shadows and depth tokens","Box-shadow tokens limited but present","Depth and overlay styling tokens","Surface hierarchy guidance present","Visual hierarchy guidance present","Minimal shadow usage for public trust"
Design Tokens & Style,Shape/radius,"Shape scale is first-class","Rounded rect conventions by platform","Border radius tokens","Border radius tokens","Radius tokens and algorithm","Productive geometry and corner styles","Border radius utilities","Border radius primitives","Corner radius in component language","Shape decisions in UI kit","Brand style decisions present","Conservative component shapes"
Design Tokens & Style,Iconography,"Material Symbols and icons","SF Symbols and app icons","Fluent System Icons adjacent","Atlassian icons","Ant Design Icons ecosystem","IBM iconography guidance","Utility icons in SLDS","Octicons","Spectrum icons across families","Icon guidance and assets","Brand/icon assets likely included","Icons in public components"
Design Tokens & Style,Motion,"Motion system and transitions","Animation guidance by platform","Motion tokens and transitions","Motion guidance exists","Motion principles less central","Motion is limited and purposeful","Motion guidance light but present","Animation utilities minimal","Motion and transitions in language system","Motion not heavily emphasized publicly","Motion not a primary public theme","Motion restrained for service clarity"
Design Tokens & Style,Illustration/imagery,"Guidance for imagery and expressive assets","Imagery and symbols guidance","Illustrations not core Fluent 2 topic","Illustration style in brand system adjacent","Illustration in spec not core","Illustration exists in expressive guidance","Illustration limited in enterprise system","Illustration not central","Illustration and iconography part of Spectrum","Illustration is a documented basic element","Visual expression assets part of brand system","Images and illustrations used conservatively"
Patterns,App structure,"App bars, rails, sheets, panes","Tab bars, split views, sidebars","Shell, nav, windows, surfaces","App layouts for Jira/Confluence-like tools","Dashboard and management app structure","Enterprise shell and workflows","Record pages and app shell","Page layouts for product workflows","Workflow-centered page architecture","Product IA and screen composition","Consulting patterns for digital services","Templates for public information architecture"
Patterns,Navigation patterns,"Top app bar, nav bar, nav drawer, rail","Sidebar, tab bar, navigation split","Nav drawer, tabs, toolbar, breadcrumbs","Side nav, tabs, menus, breadcrumbs","Top nav, side nav, steps","Side nav, header, switcher","Global header, app launcher, breadcrumbs","NavList, UnderlineNav, breadcrumbs","Shell nav, side nav, tabs","Header and local nav patterns","System-level nav guidance likely present","Global nav, side nav, breadcrumbs"
Patterns,Search patterns,"Search bar and search view guidance","Search fields and system search patterns","Searchbox components and command surfaces","Global search and command patterns adjacent","Search in tables and forms","Search and filtering in data-heavy UIs","Global search and lookup patterns","Search, command palette adjacent patterns","Search and filtering across assets","Search in product tables and lists","Likely included in product patterns","Site search and filtering usage"
Patterns,Table/list patterns,"Lists, data tables, cards","Lists, tables, collections","Table, list, tree patterns","Dynamic table and list patterns","Table, list, transfer, tree","Data table is a flagship pattern","Data table, tree grid, list views","Data-rich tables and list patterns","Tables tied to workflow and density","Tables and list patterns in product docs","Reusable list/card patterns","Table and list components with usage"
Patterns,Empty states,"Guidance through states and copy","Platform empty states via content design","Illustrated and textual empty states possible","Empty state guidance in content/patterns","Result and empty status components","Empty states in pattern guidance","Empty state blueprint via illustrations and text","Blankslate-style patterns adjacent","Empty states embedded in workflow guidance","Content design likely covers it","Likely part of consulting patterns","Public service empty states and no-result guidance"
Patterns,Notifications/feedback,"Snackbars, banners, dialogs","Alerts, banners, system prompts","Toast, message bar, dialog feedback","Flags, inline messages, banners","Message, notification, modal, result","Inline notifications and toast notifications","Alerts, scoped notifications, prompts","Flash, banner, toast, tooltips","Coach marks, toasts, dialogs","Notifications and messages in product docs","Guidance likely included","Alert, note, snackbar-equivalent components"
Patterns,Dialogs/sheets,"Dialogs and bottom/side sheets","Sheets, alerts, popovers","Dialog and drawer patterns","Modal dialog and drawer patterns","Modal, drawer, popconfirm","Modal, side panel, overflow menu","Modal, panel, popover blueprints","Dialog, ActionMenu, overlay patterns","Dialogs, trays, popovers","Modal and drawer in SmartHR UI","Likely covered in reusable assets","Dialog and drawer usage pages"
Patterns,Responsive/adaptive behavior,"Adaptive layouts by breakpoint and window class","Canonical adaptations by device","Responsive/adaptive guidance across surfaces","Responsive web app guidance","Responsive grid and mobile variants","Responsive by grid and layout tokens","Responsive and adaptive tags on blueprints","Responsive layouts for GitHub pages","Responsive patterns across devices","Responsive product design implied","Responsive guidance likely included","Responsive government web guidance"
Components,Button,"Filled, tonal, outlined, text buttons","System button styles","Button variants with appearance tokens","Button component","Button with variants","Button","Button blueprint","Button","Button","Button","Button guidance","Button"
Components,Button group,"Segmented and split variants","Segmented controls","Compound and toolbar grouping","Button group / segmented","Segmented and space grouping","Button set / group patterns","Button groups","SegmentedControl and ButtonGroup","Action groups","Button grouping in UI kit","Grouping patterns likely present","Button group"
Components,Link,"Text link patterns","Link","Link","Link","Typography.Link and anchor usage","Link","Links","Link","Link","Link","Link guidance","Link"
Components,Text field,"Filled and outlined text field","Text fields follow platform controls","Input field","Textfield","Input","Text input","Input","TextInput","Text field","Text field","Text field pattern","Text input"
Components,Textarea,"Text area via input components","Text views and multiline entry","Textarea","Textarea","Input.TextArea","Text area","Textarea","Textarea","Text area","Textarea","Textarea likely available","Textarea"
Components,Select/combobox,"Exposed dropdown menus and autocomplete","Menus, pickers, pop-up buttons","Combobox, dropdown","Select and popup select","Select, Cascader, AutoComplete","Dropdown, combo box, multiselect","Combobox, picklist","Select, SelectPanel, autocomplete-like patterns","Picker and ComboBox in Spectrum family","Select and combobox in SmartHR UI","Selection patterns likely present","Select"
Components,Checkbox,"Checkbox","Checkbox","Checkbox","Checkbox","Checkbox","Checkbox","Checkbox","Checkbox","Checkbox","Checkbox","Checkbox","Checkbox"
Components,Radio,"Radio button","Radio buttons","Radio","Radio","Radio","Radio button","Radio group","Radio / RadioGroup","Radio","Radio button","Radio pattern","Radio button"
Components,Switch,"Switch","Toggle controls","Switch","Toggle","Switch","Toggle","Checkbox toggle / switch","ToggleSwitch","Switch","Switch","Switch guidance likely present","Switch"
Components,Slider,"Slider","Slider","Slider","Range / slider adjacent","Slider","Slider","Slider","Slider","Slider","Slider","Slider likely present","Slider"
Components,Date/time picker,"Date pickers and time pickers","DatePicker and system pickers","DatePicker, TimePicker adjacent in libraries","Date and time fields adjacent","DatePicker, TimePicker, Calendar","Date picker, time picker","Datepicker, timepicker blueprints","DatePicker relative time patterns","DatePicker, Calendar in Spectrum family","Date picker in SmartHR UI","Date/time selection likely present","Date picker / calendar"
Components,Search,"Search bar","Search field","Searchbox","Search field","Input.Search","Search pattern with filtering","Global search / lookup","TextInput and command/search patterns","Search within workflows","Search","Search pattern likely present","Search"
Components,Menu,"Menus","Menus and pop-up menus","Menu, MenuList","Dropdown menu","Menu, Dropdown","Overflow menu, menu button","Menus","ActionMenu and menu patterns","Menu and ActionMenu family","Menu","Menu guidance likely present","Menu"
Components,Tabs,"Primary and secondary tabs","Tab views","TabList / tabs","Tabs","Tabs","Tabs","Tabs","UnderlineNav / tabs","Tabs","Tabs","Tabs likely present","Tabs"
Components,Breadcrumb,"Breadcrumbs","Path controls where appropriate","Breadcrumb","Breadcrumbs","Breadcrumb","Breadcrumb","Breadcrumbs","Breadcrumbs","Breadcrumbs","Breadcrumb","Breadcrumb guidance likely present","Breadcrumb"
Components,App bar/header,"Top app bar","Navigation bars and toolbars","Toolbar / app shell header","Top navigation / page header","Layout.Header / page header","Header and masthead patterns","Global header","PageHeader / header primitives","Top nav and headers","Header","Header guidance likely present","Header"
Components,Side navigation/drawer,"Navigation drawer and rail","Sidebar and split view","Drawer and navigation pane","Side navigation","Drawer and sider","Side nav","Global navigation, vertical nav","NavList / side nav","Side nav and rail patterns","Side navigation","Side navigation likely present","Side navigation"
Components,Card,"Elevated, filled, outlined cards","Cards and collections","Card","Card","Card","Tile / structured containers","Cards","Card","Card and card view patterns","Card","Card patterns likely present","Card"
Components,Table/Data grid,"Data table","Table / outline views via platform","Table, DataGrid in ecosystem","DynamicTable","Table","Data table","Data table","DataTable / table patterns","Table","Table","Table patterns likely present","Table"
Components,List,"List","List and collection views","List","List","List","Structured list / list group","List views","ActionList / list","List","List","List pattern","List"
Components,Badge,"Badge","Badge-like labels","Badge","Badge / lozenge","Badge","Tag / status indicator","Badge","Label / Counter","Badge","Status label","Badge likely present","Badge"
Components,Tooltip,"Plain and rich tooltip","Tooltips","Tooltip","Tooltip","Tooltip","Tooltip","Tooltip","Tooltip","Tooltip","Tooltip","Tooltip likely present","Tooltip"
Components,Dialog/Modal,"Dialog and alert dialog","Sheets and alerts","Dialog","Modal dialog","Modal","Modal","Modal","Dialog","Dialog / tray","Dialog","Dialog guidance likely present","Dialog"
Components,Toast/Snackbar,"Snackbar","Transient alerts","Toast / message bar","Flag","Message / notification","Toast notification","Toast / scoped notification","Flash / toast-like feedback","Toast and coachmark family","Toast / notification","Feedback message likely present","Notice / snackbar-equivalent"
Components,Progress/Loading,"Linear, circular, loading indicator","Progress indicators","Spinner, progress bar","Spinner and progress indicator","Progress, Spin, Skeleton","Progress bar, loading, skeleton","Spinners and progress indicators","Spinner, skeleton, progress","ProgressCircle, progress bar, skeleton","Loader and progress","Loading guidance likely present","Loading and progress"
Components,Pagination,"Pagination less central in Material mobile","Pagination where desktop fits","Pagination in web libraries","Pagination","Pagination","Pagination","Pagination","Pagination","Pagination","Pagination","Pagination likely present","Pagination"
Components,Avatar,"Avatar","Profile image patterns","Avatar","Avatar","Avatar","Avatar","Avatar","Avatar","Avatar","Avatar","Avatar likely present","Avatar"
Components,Tag/Chip,"Assist, filter, input, suggestion chips","Tokens, tags, capsules adjacent","Tag, Badge, Persona chips","Tag and lozenge adjacent","Tag, CheckableTag","Tag","Pills / tags adjacent","Token / label patterns","Tag and status badge adjacent","Tag","Tag guidance likely present","Tag"
AI Readability,Semantic token clarity,"High | role-based color and shape tokens","Medium | semantics exist but tied to APIs","High | clear global and alias tokens","High | semantic token naming","High | seed-to-semantic token model","High | layered semantic token model","High | utility and styling hook semantics","High | primitive and semantic variable split","High | tokens map well to UI language","High | token names are product-oriented","Medium | guidance language stronger than token system","Medium | semantics clear, tokens less formal"
AI Readability,Component naming consistency,"High | mainstream names with variants","Medium | native names differ by platform","High | conventional names","High | standard product naming","High | common web component names","High | enterprise-standard names","Medium | Salesforce-specific names appear","High | standard product UI names","Medium | Adobe-specific family terms appear","High | straightforward Japanese and OSS names","Medium | some brand-led naming likely remains","High | generic public-service names"
AI Readability,Layout rule explicitness,"High | adaptive layout rules are explicit","High | device-specific rules are explicit","High | spacing and layout tokens explicit","High | page layout patterns are explicit","Medium | layout principles are broad","High | grid and shell guidance explicit","High | blueprint regions and adaptivity explicit","High | layout primitives and page patterns explicit","High | workflow layout is explicit","Medium | guidance exists but not always condensed","Medium | reusable rules still maturing publicly","High | usage and templates are explicit"
AI Readability,State/interaction descriptiveness,"High | states, emphasis, motion well described","High | platform behaviors well documented","High | interaction states are tokenized","High | stateful components and messaging","High | status and feedback patterns strong","High | states and accessibility well specified","High | blueprint variants expose states","High | accessibility pages describe behavior","High | workflows and variants described","Medium | component states visible in UI kit","Medium | likely present but less formalized publicly","High | usage docs describe service behavior"
AI Readability,Theme describability,"High | dynamic color roles convert well from md","Medium | appearance follows system settings","High | theme tokens map cleanly to prompts","High | brand and semantic themes clear","High | algorithmic themes are easy to describe","High | layered theming is explicit","High | styling hooks describe visual variance","High | color modes and primitives are clear","High | visual language is richly named","Medium | themes exist but docs are product-specific","Medium | style direction is strong but less formalized","Low | customization is intentionally constrained"
AI Readability,Prompt-to-UI suitability,"High | components + tokens + layout map well","Medium | best when prompt targets Apple platforms","High | strong for cross-platform enterprise prompts","High | good for SaaS work-management prompts","High | rich web components for admin UIs","High | strong for complex enterprise workflows","High | strong for CRM and record-centric screens","High | excellent for repository/productivity screens","High | strong for creative and content workflows","High | good for Japanese business app screens","Medium | useful as a visual direction source","High | strong for public-service transaction screens"
Delivery Assets,Figma/library,"Yes | Material Theme Builder and kits","Yes | Apple design resources","Yes | Figma kits available","Yes | ADS libraries and plugins","Yes | Ant Design resources","Yes | Carbon Figma kit","Yes | SLDS resources","Yes | Primer Figma libraries","Yes | Spectrum libraries","Yes | published design resources","Yes | design assets are a core offer","Limited | public downloadable assets vary"
Delivery Assets,Code library,"Yes | Compose, Web, Android resources","Platform SDKs rather than one library","Yes | Fluent UI libraries","Yes | Atlaskit and related packages","Yes | React component library","Yes | React/Web components","Yes | Lightning implementations","Yes | Primer React","Yes | React Spectrum / Spectrum CSS","Yes | SmartHR UI","N/A | code library not central in public launch","Yes | components and example code"
Delivery Assets,Token distribution,"Yes | theme and token tooling","System values via platform APIs","Yes | design token packages","Yes | tokens published across tooling","Yes | token algorithms and themes","Yes | token packages","Yes | styling hooks and tokens","Yes | design token primitives","Yes | token ecosystem","Yes | SmartHR UI tokens","Limited | distribution details not central publicly","Limited | foundations published more than packages"
Delivery Assets,Contribution model,"Google-led with public guidance","Apple-led closed contribution model","Microsoft-led OSS contribution paths","Atlassian-internal with public OSS pieces","Open source GitHub contribution flow","Open source IBM contribution flow","Salesforce-led public docs","GitHub-led OSS contribution flow","Adobe-led open source adjacent repos","Internal product team with OSS UI","Goodpatch-led system stewardship","Government-led public feedback and iteration"
Delivery Assets,Versioning/release visibility,"High | Material 3 versioned docs","Medium | updated with OS releases","High | Fluent 2 named and versioned","Medium | evolving docs without heavy version surfacing","High | Ant Design v5 visible","High | Carbon versions visible","Medium | seasonal/versioned site snapshots","High | product package versions visible","Medium | docs active, package versions in related repos","Medium | design system content versioned by site","Low | public release process still emerging","Medium | beta status and update dates visible"
Delivery Assets,AI-oriented documentation,"Indirect | design-md compatible concepts, not explicit","No explicit AI design-doc format","Indirect | structured tokens help AI use","Indirect | clear patterns but no AI-specific spec","Indirect | rich semantics help prompt mapping","Indirect | explicit tokens and states help AI","Indirect | blueprint metadata helps AI mapping","Indirect | strong primitives and naming help AI","Indirect | workflow language helps AI generation","Indirect | concise Japanese guidance helps AI use","Indirect | consulting-oriented docs can guide prompts","Indirect | explicit public-service rules suit AI transforms"
